Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Right Isthmus Cingulate Mean Cortical Thickness,Right isthmus cingulate mean cortical thickness,,,,,ST93TA,,rh_isthmuscingulate_thickness,,,rh_(isthmuscingulate)ThickAvg,RISTHCM,,ST93TA,,rh_isthmuscingulate_thickness,rh_isthmuscingulate_thickness,rh_isthmuscingulate_thickness,rh_isthmuscingulate_thickness,rh_isthmuscingulate_thickness,rh_isthmuscingulate_thickness,rh_isthmuscingulate_thickness,,
Left Lateraloccipital Mean Cortical Thickness,Left lateraloccipital mean cortical thickness,,,,,ST35TA,,lh_lateraloccipital_thickness,,,lh_(lateraloccipital)ThickAvg,LLATOCCM,,ST35TA,,lh_lateraloccipital_thickness,lh_lateraloccipital_thickness,lh_lateraloccipital_thickness,lh_lateraloccipital_thickness,lh_lateraloccipital_thickness,lh_lateraloccipital_thickness,lh_lateraloccipital_thickness,,
Right Lateraloccipital Mean Cortical Thickness,Right lateraloccipital mean cortical thickness,,,,,ST94TA,,rh_lateraloccipital_thickness,,,rh_(lateraloccipital)ThickAvg,RLATOCCM,,ST94TA,,rh_lateraloccipital_thickness,rh_lateraloccipital_thickness,rh_lateraloccipital_thickness,rh_lateraloccipital_thickness,rh_lateraloccipital_thickness,rh_lateraloccipital_thickness,rh_lateraloccipital_thickness,,
Left Lateralorbitofrontal Mean Cortical Thickness,Left lateralorbitofrontal mean cortical thickness,,,,,ST95TA,,lh_lateralorbitofrontal_thickness,,,lh_(lateralorbitofrontal)ThickAvg,LLATORBM,,ST95TA,,lh_lateralorbitofrontal_thickness,lh_lateralorbitofrontal_thickness,lh_lateralorbitofrontal_thickness,lh_lateralorbitofrontal_thickness,lh_lateralorbitofrontal_thickness,lh_lateralorbitofrontal_thickness,lh_lateralorbitofrontal_thickness,,
Right Lateralorbitofrontal Mean Cortical Thickness,Right lateralorbitofrontal mean cortical thickness,,,,,ST36TA,,rh_lateralorbitofrontal_thickness,,,rh_(lateralorbitofrontal)ThickAvg,RLATORBM,,ST36TA,,rh_lateralorbitofrontal_thickness,rh_lateralorbitofrontal_thickness,rh_lateralorbitofrontal_thickness,rh_lateralorbitofrontal_thickness,rh_lateralorbitofrontal_thickness,rh_lateralorbitofrontal_thickness,rh_lateralorbitofrontal_thickness,,
Left Lingual Mean Cortical Thickness,Left lingual mean cortical thickness,,,,,ST38TA,,lh_lingual_thickness,,,lh_(lingual)ThickAvg,LLINGM,,ST38TA,,lh_lingual_thickness,lh_lingual_thickness,lh_lingual_thickness,lh_lingual_thickness,lh_lingual_thickness,lh_lingual_thickness,lh_lingual_thickness,,
Right Lingual Mean Cortical Thickness,Right lingual mean cortical thickness,,,,,ST97TA,,rh_lingual_thickness,,,rh_(lingual)ThickAvg,RLINGM,,ST97TA,,rh_lingual_thickness,rh_lingual_thickness,rh_lingual_thickness,rh_lingual_thickness,rh_lingual_thickness,rh_lingual_thickness,rh_lingual_thickness,,
Left Medial Orbitofrontal Mean Cortical Thickness,Left medial orbitofrontal mean cortical thickness,,,,,ST39TA,,lh_medialorbitofrontal_thickness,,,lh_(medialorbitofrontal)ThickAvg,LMEDORBM,,ST39TA,,lh_medialorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_medialorbitofrontal_thickness,,
Right Medial Orbitofrontal Mean Cortical Thickness,Right medial orbitofrontal mean cortical thickness,,,,,ST98TA,,rh_medialorbitofrontal_thickness,,,rh_(medialorbitofrontal)ThickAvg,RMEDORBM,,ST98TA,,rh_medialorbitofrontal_thickness,rh_medialorbitofrontal_thickness,rh_medialorbitofrontal_thickness,rh_medialorbitofrontal_thickness,rh_medialorbitofrontal_thickness,rh_medialorbitofrontal_thickness,rh_medialorbitofrontal_thickness,,
Left Middle Temporal Mean Cortical Thickness,Left middle temporal mean cortical thickness,,,,,ST40TA,,lh_middletemporal_thickness,,,lh_(middletemporal)ThickAvg,LMIDTEMM,,ST40TA,,lh_middletemporal_thickness,lh_middletemporal_thickness,lh_middletemporal_thickness,lh_middletemporal_thickness,lh_middletemporal_thickness,lh_middletemporal_thickness,lh_middletemporal_thickness,,
Right Middle Temporal Mean Cortical Thickness,Right middle temporal mean cortical thickness,,,,,ST99TA,,rh_middletemporal_thickness,,,rh_(middletemporal)ThickAvg,RMIDTEMM,,ST99TA,,rh_middletemporal_thickness,rh_middletemporal_thickness,rh_middletemporal_thickness,rh_middletemporal_thickness,rh_middletemporal_thickness,rh_middletemporal_thickness,rh_middletemporal_thickness,,
Left Paracentral Mean Cortical Thickness,Left paracentral mean cortical thickness,,,,,ST43TA,,lh_paracentral_thickness,,,lh_(paracentral)ThickAvg,LPARCENM,,ST43TA,,lh_paracentral_thickness,lh_paracentral_thickness,lh_paracentral_thickness,lh_paracentral_thickness,lh_paracentral_thickness,lh_paracentral_thickness,lh_paracentral_thickness,,
Right Paracentral Mean Cortical Thickness,Right paracentral mean cortical thickness,,,,,ST102TS,,rh_paracentral_thickness,,,rh_(paracentral)ThickAvg,RPARCENM,,ST102TA,,rh_paracentral_thickness,rh_paracentral_thickness,rh_paracentral_thickness,rh_paracentral_thickness,rh_paracentral_thickness,rh_paracentral_thickness,rh_paracentral_thickness,,
Left Parahippocampal Mean Cortical Thickness,Left parahippocampal mean cortical thickness,,,,,ST44TA,,lh_parahippocampal_thickness,,,lh_(parahippocampal)ThickAvg,LPARHIPM,,ST44TA,,lh_parahippocampal_thickness,lh_parahippocampal_thickness,lh_parahippocampal_thickness,lh_parahippocampal_thickness,lh_parahippocampal_thickness,lh_parahippocampal_thickness,lh_parahippocampal_thickness,,
Right Parahippocampal Mean Cortical Thickness,Right parahippocampal mean cortical thickness,,,,,ST103TA,,rh_parahippocampal_thickness,,,rh_(parahippocampal)ThickAvg,RPARHIPM,,ST103TA,,rh_parahippocampal_thickness,rh_parahippocampal_thickness,rh_parahippocampal_thickness,rh_parahippocampal_thickness,rh_parahippocampal_thickness,rh_parahippocampal_thickness,rh_parahippocampal_thickness,,
Left Pars Opercularis Mean Cortical Thickness,Left pars opercularis mean cortical thickness,,,,,ST45TA,,lh_parsopercularis_thickness,,,lh_(parsopercularis)ThickAvg,LPARSOPM,,ST45TA,,lh_parsopercularis_thickness,lh_parsopercularis_thickness,lh_parsopercularis_thickness,lh_parsopercularis_thickness,lh_parsopercularis_thickness,lh_parsopercularis_thickness,lh_parsopercularis_thickness,,
Right Pars Opercularis Mean Cortical Thickness,Right pars opercularis mean cortical thickness,,,,,ST104TA,,rh_parsopercularis_thickness,,,rh_(parsopercularis)ThickAvg,RPARSOPM,,ST104TA,,rh_parsopercularis_thickness,rh_parsopercularis_thickness,rh_parsopercularis_thickness,rh_parsopercularis_thickness,rh_parsopercularis_thickness,rh_parsopercularis_thickness,rh_parsopercularis_thickness,,
Left Parsorbitalis Mean Cortical Thickness,Left parsorbitalis mean cortical thickness,,,,,ST46TA,,lh_parsorbitalis_thickness,,,lh_(parsorbitalis)ThickAvg,LPARORBM,,ST46TA,,lh_parsorbitalis_thickness,lh_parsorbitalis_thickness,lh_parsorbitalis_thickness,lh_parsorbitalis_thickness,lh_parsorbitalis_thickness,lh_parsorbitalis_thickness,lh_parsorbitalis_thickness,,
Right Parsorbitalis Mean Cortical Thickness,Right parsorbitalis mean cortical thickness,,,,,ST105TA,,rh_parsorbitalis_thickness,,,rh_(parsorbitalis)ThickAvg,RPARORBM,,ST105TA,,rh_parsorbitalis_thickness,rh_parsorbitalis_thickness,rh_parsorbitalis_thickness,rh_parsorbitalis_thickness,rh_parsorbitalis_thickness,rh_parsorbitalis_thickness,rh_parsorbitalis_thickness,,
Left Pars Triangularis Mean Cortical Thickness,Left pars triangularis mean cortical thickness,,,,,ST47TA,,lh_parstriangularis_thickness,,,lh_(parstriangularis)ThickAvg,LPARTRIM,,ST47TA,,lh_parstriangularis_thickness,lh_parstriangularis_thickness,lh_parstriangularis_thickness,lh_parstriangularis_thickness,lh_parstriangularis_thickness,lh_parstriangularis_thickness,lh_parstriangularis_thickness,,
Right Pars Triangularis Mean Cortical Thickness,Right pars triangularis mean cortical thickness,,,,,ST106TA,,rh_parstriangularis_thickness,,,rh_(parstriangularis)ThickAvg,RPARTRIM,,ST106TA,,rh_parstriangularis_thickness,rh_parstriangularis_thickness,rh_parstriangularis_thickness,rh_parstriangularis_thickness,rh_parstriangularis_thickness,rh_parstriangularis_thickness,rh_parstriangularis_thickness,,
Left Pericalcarine Mean Cortical Thickness,Left pericalcarine mean cortical thickness,,,,,ST48TA,,lh_pericalcarine_thickness,,,lh_(pericalcarine)ThickAvg,LPERCALM,,ST48TA,,lh_pericalcarine_thickness,lh_pericalcarine_thickness,lh_pericalcarine_thickness,lh_pericalcarine_thickness,lh_pericalcarine_thickness,lh_pericalcarine_thickness,lh_pericalcarine_thickness,,
Right Pericalcarine Mean Cortical Thickness,Right pericalcarine mean cortical thickness,,,,,ST107TA,,rh_pericalcarine_thickness,,,rh_(pericalcarine)ThickAvg,RPERCALM,,ST107TA,,rh_pericalcarine_thickness,rh_pericalcarine_thickness,rh_pericalcarine_thickness,rh_pericalcarine_thickness,rh_pericalcarine_thickness,rh_pericalcarine_thickness,rh_pericalcarine_thickness,,
Left Postcentral Mean Cortical Thickness,Left postcentral mean cortical thickness,,,,,ST49TA,,lh_postcentral_thickness,,,lh_(postcentral)ThickAvg,LPOSCENM,,ST49TA,,lh_postcentral_thickness,lh_postcentral_thickness,lh_postcentral_thickness,lh_postcentral_thickness,lh_postcentral_thickness,lh_postcentral_thickness,lh_postcentral_thickness,,
Right Postcentral Mean Cortical Thickness,Right postcentral mean cortical thickness,,,,,ST108TA,,rh_postcentral_thickness,,,rh_(postcentral)ThickAvg,RPOSCENM,,ST108TA,,rh_postcentral_thickness,rh_postcentral_thickness,rh_postcentral_thickness,rh_postcentral_thickness,rh_postcentral_thickness,rh_postcentral_thickness,rh_postcentral_thickness,,
Left Posterior Cingulate Mean Cortical Thickness,Left posterior cingulate mean cortical thickness,,,,,ST50TA,,lh_posteriorcingulate_thickness,,,lh_(posteriorcingulate)ThickAvg,LPOSCINM,,ST50TA,,lh_posteriorcingulate_thickness,lh_posteriorcingulate_thickness,lh_posteriorcingulate_thickness,lh_posteriorcingulate_thickness,lh_posteriorcingulate_thickness,lh_posteriorcingulate_thickness,lh_posteriorcingulate_thickness,,
Right Posterior Cingulate Mean Cortical Thickness,Right posterior cingulate mean cortical thickness,,,,,ST109TA,,rh_posteriorcingulate_thickness,,,rh_(posteriorcingulate)ThickAvg,RPOSCINM,,ST109TA,,rh_posteriorcingulate_thickness,rh_posteriorcingulate_thickness,rh_posteriorcingulate_thickness,rh_posteriorcingulate_thickness,rh_posteriorcingulate_thickness,rh_posteriorcingulate_thickness,rh_posteriorcingulate_thickness,,
Left Precentral Mean Cortical Thickness,Left precentral mean cortical thickness,,,,,ST51TA,,lh_precentral_thickness,,,lh_(precentral)ThickAvg,LPRECENM,,ST51TA,,lh_precentral_thickness,lh_precentral_thickness,lh_precentral_thickness,lh_precentral_thickness,lh_precentral_thickness,lh_precentral_thickness,lh_precentral_thickness,,
Right Precentral Mean Cortical Thickness,Right precentral mean cortical thickness,,,,,ST110TA,,rh_precentral_thickness,,,rh_(precentral)ThickAvg,RPRECENM,,ST110TA,,rh_precentral_thickness,rh_precentral_thickness,rh_precentral_thickness,rh_precentral_thickness,rh_precentral_thickness,rh_precentral_thickness,rh_precentral_thickness,,
Left Precuneus Mean Cortical Thickness,Left precuneus mean cortical thickness,,,,,ST52TA,,lh_precuneus_thickness,,,lh_(precuneus)ThickAvg,LPRECUNM,,ST52TA,,lh_precuneus_thickness,lh_precuneus_thickness,lh_precuneus_thickness,lh_precuneus_thickness,lh_precuneus_thickness,lh_precuneus_thickness,lh_precuneus_thickness,,
Right Precuneus Mean Cortical Thickness,Right precuneus mean cortical thickness,,,,,ST111TA,,rh_precuneus_thickness,,,rh_(precuneus)ThickAvg,RPRECUNM,,ST111TA,,rh_precuneus_thickness,rh_precuneus_thickness,rh_precuneus_thickness,rh_precuneus_thickness,rh_precuneus_thickness,rh_precuneus_thickness,rh_precuneus_thickness,,
Left Rostral Anterior Cingulate Mean Cortical Thickness,Left rostral anterior cingulate mean cortical thickness,,,,,ST54TA,,lh_rostralanteriorcingulate_thickness,,,lh_(rostralanteriorcingulate)ThickAvg,LROSANCM,,ST54TA,,lh_rostralanteriorcingulate_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralanteriorcingulate_thickness,,
Right Rostral Anterior Cingulate Mean Cortical Thickness,Right rostral anterior cingulate mean cortical thickness,,,,,ST113TA,,rh_rostralanteriorcingulate_thickness,,,rh_(rostralanteriorcingulate)ThickAvg,RROSANCM,,ST113TA,,rh_rostralanteriorcingulate_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralanteriorcingulate_thickness,,
Left Rostral Middle Frontal Mean Cortical Thickness,Left rostral middle frontal mean cortical thickness,,,,,ST55TA,,lh_rostralmiddlefrontal_thickness,,,lh_(rostralmiddlefrontal)ThickAvg,LROSMFM,,ST55TA,,lh_rostralmiddlefrontal_thickness,lh_rostralmiddlefrontal_thickness,lh_rostralmiddlefrontal_thickness,lh_rostralmiddlefrontal_thickness,lh_rostralmiddlefrontal_thickness,lh_rostralmiddlefrontal_thickness,lh_rostralmiddlefrontal_thickness,,
Right Rostral Middle Frontal Mean Cortical Thickness,Right rostral middle frontal mean cortical thickness,,,,,ST114TA,,rh_rostralmiddlefrontal_thickness,,,rh_(rostralmiddlefrontal)ThickAvg,RROSMFM,,ST114TA,,rh_rostralmiddlefrontal_thickness,rh_rostralmiddlefrontal_thickness,rh_rostralmiddlefrontal_thickness,rh_rostralmiddlefrontal_thickness,rh_rostralmiddlefrontal_thickness,rh_rostralmiddlefrontal_thickness,rh_rostralmiddlefrontal_thickness,,
Left Superior Frontal Mean Cortical Thickness,Left superior frontal mean cortical thickness,,,,,ST56TA,,lh_superiorfrontal_thickness,,,lh_(superiorfrontal)ThickAvg,LSUPFRM,,ST56TA,,lh_superiorfrontal_thickness,lh_superiorfrontal_thickness,lh_superiorfrontal_thickness,lh_superiorfrontal_thickness,lh_superiorfrontal_thickness,lh_superiorfrontal_thickness,lh_superiorfrontal_thickness,,
Right Superiorfrontal Mean Cortical Thickness,Right superiorfrontal mean cortical thickness,,,,,ST115TA,,rh_superiorfrontal_thickness,,,rh_(superiorfrontal)ThickAvg,RSUPFRM,,ST115TA,,rh_superiorfrontal_thickness,rh_superiorfrontal_thickness,rh_superiorfrontal_thickness,rh_superiorfrontal_thickness,rh_superiorfrontal_thickness,rh_superiorfrontal_thickness,rh_superiorfrontal_thickness,,
Left Superiorparietal Mean Cortical Thickness,Left superiorparietal mean cortical thickness,,,,,ST57TA,,lh_superiorparietal_thickness,,,lh_(superiorparietal)ThickAvg,LSUPPARM,,ST57TA,,lh_superiorparietal_thickness,lh_superiorparietal_thickness,lh_superiorparietal_thickness,lh_superiorparietal_thickness,lh_superiorparietal_thickness,lh_superiorparietal_thickness,lh_superiorparietal_thickness,,
Right Superiorparietal Mean Cortical Thickness,Right superiorparietal mean cortical thickness,,,,,ST116TA,,rh_superiorparietal_thickness,,,rh_(superiorparietal)ThickAvg,RSUPPARM,,ST116TA,,rh_superiorparietal_thickness,rh_superiorparietal_thickness,rh_superiorparietal_thickness,rh_superiorparietal_thickness,rh_superiorparietal_thickness,rh_superiorparietal_thickness,rh_superiorparietal_thickness,,
Left Superior Temporal Mean Cortical Thickness,Left superior temporal mean cortical thickness,,,,,ST58TA,,lh_superiortemporal_thickness,,,lh_(superiortemporal)ThickAvg,LSUPTEMM,,ST58TA,,lh_superiortemporal_thickness,lh_superiortemporal_thickness,lh_superiortemporal_thickness,lh_superiortemporal_thickness,lh_superiortemporal_thickness,lh_superiortemporal_thickness,lh_superiortemporal_thickness,,
Right Superior Temporal Mean Cortical Thickness,Right superior temporal mean cortical thickness,,,,,ST117TA,,rh_superiortemporal_thickness,,,rh_(superiortemporal)ThickAvg,RSUPTEMM,,ST117TA,,rh_superiortemporal_thickness,rh_superiortemporal_thickness,rh_superiortemporal_thickness,rh_superiortemporal_thickness,rh_superiortemporal_thickness,rh_superiortemporal_thickness,rh_superiortemporal_thickness,,
Left Supramarginal Mean Cortical Thickness,Left supramarginal mean cortical thickness,,,,,ST59TA,,lh_supramarginal_thickness,,,lh_(supramarginal)ThickAvg,LSUPMARM,,ST59TA,,lh_supramarginal_thickness,lh_supramarginal_thickness,lh_supramarginal_thickness,lh_supramarginal_thickness,lh_supramarginal_thickness,lh_supramarginal_thickness,lh_supramarginal_thickness,,
Right Supramarginal Mean Cortical Thickness,Right supramarginal mean cortical thickness,,,,,ST118TA,,rh_supramarginal_thickness,,,rh_(supramarginal)ThickAvg,RSUPMARM,,ST118TA,,rh_supramarginal_thickness,rh_supramarginal_thickness,rh_supramarginal_thickness,rh_supramarginal_thickness,rh_supramarginal_thickness,rh_supramarginal_thickness,rh_supramarginal_thickness,,
Left Transverse Temporal Mean Cortical Thickness,Left transverse temporal mean cortical thickness,,,,,ST62TA,,lh_transversetemporal_thickness,,,lh_(transversetemporal)ThickAvg,LTRTEMM,,ST62TA,,lh_transversetemporal_thickness,lh_transversetemporal_thickness,lh_transversetemporal_thickness,lh_transversetemporal_thickness,lh_transversetemporal_thickness,lh_transversetemporal_thickness,lh_transversetemporal_thickness,,
Right Transverse Temporal Mean Cortical Thickness,Right transverse temporal mean cortical thickness,,,,,ST121TA,,rh_transversetemporal_thickness,,,rh_(transversetemporal)ThickAvg,RTRTEMM,,ST121TA,,rh_transversetemporal_thickness,rh_transversetemporal_thickness,rh_transversetemporal_thickness,rh_transversetemporal_thickness,rh_transversetemporal_thickness,rh_transversetemporal_thickness,rh_transversetemporal_thickness,,
Left Precuneus Grey Matter Volume,Left precuneus grey matter volume,EFO:0010326,,,,ST52CV,,,,lrprecv,lh_(precuneus)GrayVol,LPRECUN,,ST52CV,,lh_precuneus_volume,lh_precuneus_volume,lh_precuneus_volume,lh_precuneus_volume,lh_precuneus_volume,lh_precuneus_volume,lh_precuneus_volume,,
Right Precuneus Grey Matter Volume,Right precuneus grey matter volume,EFO:0010326,,,,ST111CV,,,,llprecv,rh_(precuneus)GrayVol,RPRECUN,,ST111CV,,rh_precuneus_volume,rh_precuneus_volume,rh_precuneus_volume,rh_precuneus_volume,rh_precuneus_volume,rh_precuneus_volume,rh_precuneus_volume,,
Left Transverse Temporal Grey Matter Volume,Left Transverse temporal grey matter volume,EFO:0010336,,,,ST62CV,,,,,lh_(transversetemporal)GrayVol,LTRTEM,,ST62CV,,lh_transversetemporal_volume,lh_transversetemporal_volume,lh_transversetemporal_volume,lh_transversetemporal_volume,lh_transversetemporal_volume,lh_transversetemporal_volume,lh_transversetemporal_volume,,
Right Transverse Temporal Grey Matter Volume,Right transverse temporal grey matter volume,EFO:0010336,,,,ST121CV,,,,,rh_(transversetemporal)GrayVol,RTRTEM,,ST121CV,,rh_transversetemporal_volume,rh_transversetemporal_volume,rh_transversetemporal_volume,rh_transversetemporal_volume,rh_transversetemporal_volume,rh_transversetemporal_volume,rh_transversetemporal_volume,,
Right Parahippocampal Area,Right parahippocampal area,,,,,ST103SA,,,,,rh_(parahippocampal)SurfArea,,,ST103SA,,rh_parahippocampal_area,rh_parahippocampal_area,rh_parahippocampal_area,rh_parahippocampal_area,rh_parahippocampal_area,rh_parahippocampal_area,rh_parahippocampal_area,,
Right Paracentral Area,Right paracentral area,,,,,ST102TA,,,,,rh_(paracentral)SurfArea,,,ST102SA,,rh_paracentral_area,rh_paracentral_area,rh_paracentral_area,rh_paracentral_area,rh_paracentral_area,rh_paracentral_area,rh_paracentral_area,,
Right Parsopercularis Area,Right parsopercularis area,,,,,ST104SA,,,,,rh_(parsopercularis)SurfArea,,,ST104SA,,rh_parsopercularis_area,rh_parsopercularis_area,rh_parsopercularis_area,rh_parsopercularis_area,rh_parsopercularis_area,rh_parsopercularis_area,rh_parsopercularis_area,,
Right Parsorbitalis Area,Right parsorbitalis area,,,,,ST105SA,,,,,rh_(parsorbitalis)SurfArea,,,ST105SA,,rh_parsorbitalis_area,rh_parsorbitalis_area,rh_parsorbitalis_area,rh_parsorbitalis_area,rh_parsorbitalis_area,rh_parsorbitalis_area,rh_parsorbitalis_area,,
Right Parstriangularis Area,Right parstriangularis area,,,,,ST106SA,,,,,rh_(parstriangularis)SurfArea,,,ST106SA,,rh_parstriangularis_area,rh_parstriangularis_area,rh_parstriangularis_area,rh_parstriangularis_area,rh_parstriangularis_area,rh_parstriangularis_area,rh_parstriangularis_area,,
Right Pericalcarine Area,Right pericalcarine area,,,,,ST107SA,,,,,rh_(pericalcarine)SurfArea,,,ST107SA,,rh_pericalcarine_area,rh_pericalcarine_area,rh_pericalcarine_area,rh_pericalcarine_area,rh_pericalcarine_area,rh_pericalcarine_area,rh_pericalcarine_area,,
Right Postcentral Area,Right postcentral area,,,,,ST108SA,,,,,rh_(postcentral)SurfArea,,,ST108SA,,rh_postcentral_area,rh_postcentral_area,rh_postcentral_area,rh_postcentral_area,rh_postcentral_area,rh_postcentral_area,rh_postcentral_area,,
