Feature	A4	ABVIB	ADNI	AIBL	ANM	ARWIBO	DOD-ADNI	EDSD	EMIF	EPAD	I-ADNI	JADNI	NACC	OASIS	PREVENT-AD	PharmaCog	ROSMAP	VASCULAR	VITA	WMH-AD
Left Gyrus And Sulcus Cingul-Ant Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Mid-Post Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cingul-Post-dorsal Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cingul-Post-ventral Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cuneus Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Opercular Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Orbital Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Triangul Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Middle Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Sup Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Ins Lg And Sulcus Cent Ins Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Insular Short Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Occipital Middle Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Occipital Sup Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Oc-temp Lat-fusifor Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Oc-temp Med-Lingual Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Oc-temp Med-Parahip Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Orbital Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Pariet Inf-Angular Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Pariet Inf-Supramar Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Parietal Sup Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Postcentral Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Precentral Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Precuneus Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Rectus Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Subcallosal Area From Qdec						1		1		1	1	1		1		1			1	1
Left Gyrus Temp Sup-G T Transv Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Lateral Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Plan Polar Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Plan Tempo Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temporal Inferior Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temporal Middle Area From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-ant-Horizont Area From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-ant-Vertical Area From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-post Area From Qdec						1		1			1	1		1		1			1	1
Left Pole Occipital Area From Qdec						1		1			1	1		1		1			1	1
Left Pole Temporal Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Calcarine Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Central Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Cingul-Marginalis Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Anterior Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Inferior Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Sup Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Collat Transv Anterior Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Collat Transv Posterior Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Inferior Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Middle Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Sup Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Interm Prim-Jensen Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Intrapariet And P Trans Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc Middle And Lunatus Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc Sup And Transversal Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Occipital Anterior Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc-temp Lat Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc-temp Med And Lingual Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital Lateral Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital Med-olfact Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital-H Shaped Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Parieto Occipital Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Pericallosal Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Postcentral Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Precentral-inf-part Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Precentral-sup-part Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Suborbital Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Subparietal Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Inferior Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Sup Area From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Transverse Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Frontomargin Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Occipital Inferior Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Paracentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Subcentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Transv Frontopol Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Ant Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Mid-Ant Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Mid-Post Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cingul-Post-dorsal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cingul-Post-ventral Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cuneus Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Opercular Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Frontal Inf-Orbital Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Frontal Inf-Triangul Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Frontal Middle Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Frontal Sup Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Ins Lg And Sulcus Cent Ins Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Insular Short Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Occipital Middle Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Occipital Sup Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Oc-temp Lat-fusifor Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Oc-temp Med-Lingual Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Oc-temp Med-Parahip Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Orbital Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Pariet Inf-Angular Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Pariet Inf-Supramar Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Parietal Sup Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Postcentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Precentral Meancurv From Qdec						1		1			1	1		1		1			1	1
